File,liens
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92097_124.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25123_85.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63020_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62108_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63079_96.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM56011_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM57094_65.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM55022_135.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM64029_427.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM93010_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53028_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM91005_223.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53082_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM91141_292.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM93018_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM85045_32.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62063_394.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM55040_18.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63049_146.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53020_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM81004_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM57064_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM54007_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63075_417.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM55010_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92087_245.html
